cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17431489259638 25.22186010996724, 43.17429141976289 25.22186010996724, 43.174283595483026 25.221849381131452, 43.17427968334275 25.221849381131452, 43.1742757712022 25.221844016713554, 43.174256210495706 25.221811830206182, 43.17424056192601 25.22176891486302, 43.17423664978295 25.221747457191444, 43.17423664978296 25.22169381301249, 43.174240561926005 25.221677719758805, 43.17424838621136 25.221661626505124, 43.1742562104957 25.221650897669328, 43.174264034779064 25.221645533251436, 43.174275771202204 25.221640168833538, 43.174291419762895 25.221634804415643, 43.174303156180756 25.221640168833538, 43.17431098045808 25.221645533251436, 43.174314892596385 25.221661626505124, 43.17432662900975 25.221677719758805, 43.17432662900975 25.221704541848283, 43.17433445328407 25.22171527068407, 43.17433445328407 25.22172599951986, 43.174342277557386 25.221736728355655, 43.174342277557386 25.221747457191444, 43.17435010182971 25.221758186027234, 43.1743540139655 25.221785008116704, 43.1743540139655 25.221795736952497, 43.174342277557386 25.221827923459866, 43.174334453284075 25.22183865229566, 43.174330541147036 25.22183865229566, 43.1743227168722 25.221854745549344, 43.17431489259638 25.22186010996724))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17436966250612 25.232701598533396, 43.174373574640654 25.232712327369185, 43.17436966250613 25.232723056204982, 43.17434618969368 25.23275524271235, 43.174342277557386 25.23277670038393, 43.17433445328407 25.232782064801825, 43.17432662900974 25.232782064801825, 43.17431880473442 25.232792793637614, 43.174303156180756 25.232792793637614, 43.174299244041705 25.232798158055513, 43.17428750762309 25.232798158055513, 43.17427968334276 25.23278742921972, 43.17427968334276 25.232765971548144, 43.17428359548303 25.23275524271235, 43.17429141976289 25.232744513876558, 43.17431489259638 25.232728420622873, 43.1743227168722 25.232728420622873, 43.17433836542086 25.23271769178708, 43.17435010182971 25.232701598533396, 43.17436966250612 25.232701598533396))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17436966250613 25.220470725732387, 43.17435010182972 25.22048681898607, 43.174338365420844 25.220492183403966, 43.1743227168722 25.220492183403966, 43.17431098045809 25.22047609015028, 43.17430706831956 25.2204599968966, 43.17430706831954 25.220411717135544, 43.17431489259638 25.22039025946396, 43.174322716872204 25.220384895046067, 43.17433445328407 25.220384895046067, 43.17435010182972 25.22039025946396, 43.17436183823631 25.22040635271765, 43.17436575037134 25.22041708155344, 43.174369662506116 25.220433174807123, 43.17436966250613 25.220449268060808, 43.174373574640654 25.220454632478706, 43.17436966250613 25.220470725732387))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17437748677495 25.234986840556743, 43.1743540139655 25.234992204974635, 43.17434618969367 25.23497611172095, 43.17434618969368 25.23495465404937, 43.17435401396549 25.234949289631473, 43.17436575037134 25.234949289631473, 43.17436966250612 25.234970747303056, 43.17437748677495 25.234986840556743))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174377486774944 25.200815498564452, 43.17436966250613 25.200820862982347, 43.17436183823631 25.200815498564452, 43.17435401396549 25.200804769728666, 43.174350101829724 25.200804769728666, 43.17435010182971 25.20078331205708, 43.1743540139655 25.20079404089287, 43.17435792610103 25.20079404089287, 43.17436575037134 25.200804769728666, 43.174373574640654 25.200804769728666, 43.174377486774944 25.200815498564452))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17410363677008 25.233071743368168, 43.174091900313854 25.233087836621856, 43.17408407600844 25.233087836621856, 43.174080163855365 25.233125387547116, 43.17408407600844 25.23313611638291, 43.174095812466184 25.233152209636593, 43.174107548921654 25.233152209636593, 43.17411928537486 25.23313611638291, 43.174119285374864 25.23310929429343, 43.17412710967576 25.233098565457638, 43.17412319752543 25.233087836621856, 43.17413493397565 25.233082472203954, 43.174170143312736 25.23307710778606, 43.17417405546005 25.233071743368168, 43.17418187975392 25.233071743368168, 43.17421317691938 25.233082472203954, 43.17422491335231 25.233082472203954, 43.17424838621137 25.233071743368168, 43.17426012263751 25.23307710778606, 43.174271859061406 25.233093201039743, 43.17427968334275 25.233098565457638, 43.17428750762309 25.233098565457638, 43.17430315618076 25.23307710778606, 43.17430706831954 25.23306637895027, 43.17430706831955 25.23305028569658, 43.17431098045809 25.233034192442897, 43.174314892596385 25.233023463607108, 43.174330541147036 25.233023463607108, 43.174334453284075 25.233039556860792, 43.174350101829724 25.23304492127869, 43.17436966250612 25.233061014532375, 43.174377486774944 25.233071743368168, 43.174377486774944 25.23310929429343, 43.17435792610104 25.233157574054488, 43.17435010182972 25.23317903172607, 43.17435010182972 25.233195124979755, 43.17435792610104 25.233205853815544, 43.17439313530955 25.233205853815544, 43.17439704744258 25.233216582651334, 43.17438922317627 25.23322731148712, 43.17437357464065 25.23324340474081, 43.17437357464066 25.233248769158703, 43.174365750371344 25.233259497994496, 43.1743540139655 25.233264862412394, 43.17431489259638 25.233259497994496, 43.17427185906139 25.233221947069232, 43.174264034779064 25.233216582651334, 43.17424447406882 25.233205853815544, 43.174236649782955 25.233205853815544, 43.17422491335231 25.23321121823344, 43.17421708906394 25.233221947069232, 43.174209264774575 25.233221947069232, 43.17418970404678 25.233216582651334, 43.17418187975392 25.233221947069232, 43.17417405546005 25.233232675905022, 43.174158406869296 25.23324340474081, 43.174142758274535 25.23324340474081, 43.17413102182582 25.233254133576597, 43.17411928537485 25.233254133576597, 43.17411146107297 25.233259497994496, 43.17410363677008 25.23327022683029, 43.17410363677008 25.23328632008397, 43.17409972461825 25.23329704891976, 43.17409190031385 25.233313142173447, 43.174080163855365 25.23332923542713, 43.174052778776826 25.23332923542713, 43.17404104231082 25.23333996426292, 43.17397453562758 25.23333996426292, 43.17397048180158 25.233337184926764, 43.173970041951506 25.233221183111144, 43.17401365721472 25.233216582651334, 43.174021481529145 25.233205853815544, 43.174025393685994 25.233195124979755, 43.174021481529145 25.23318439614396, 43.17400583289929 25.233162938472383, 43.173990184265435 25.233152209636593, 43.173990184265435 25.233114658711326, 43.17399800858286 25.233082472203954, 43.17399800858287 25.233055650114476, 43.17400192074122 25.23304492127869, 43.174009745057134 25.23304492127869, 43.17403321799891 25.233055650114476, 43.174052778776826 25.233055650114476, 43.17405669093166 25.233061014532375, 43.17407233954846 25.233061014532375, 43.17408407600845 25.23304492127869, 43.174095812466184 25.233055650114476, 43.17409972461825 25.233071743368168, 43.17410363677008 25.233071743368168))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.173969729862534 25.233138875777936, 43.173978447787405 25.233146845218698, 43.173974535627565 25.23317903172607, 43.17396989419006 25.23318221393347, 43.173969729862534 25.233138875777936))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17442443236674 25.236767827297943, 43.17441660810396 25.23677319171584, 43.17440095957536 25.236757098462153, 43.17440095957536 25.236746369626363, 43.17441660810396 25.236741005208465, 43.17442443236675 25.236746369626363, 43.17442443236674 25.236767827297943))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17444008088935 25.235019027064112, 43.17444399301935 25.23504584915359, 43.17444008088933 25.235056577989383, 43.17442834449779 25.235056577989383, 43.17442052023549 25.235061942407274, 43.174397047442575 25.235094128914646, 43.174389223176284 25.235099493332548, 43.17437748677494 25.235104857750436, 43.17436966250612 25.235104857750436, 43.17435792610103 25.235094128914646, 43.17435792610103 25.23508340007886, 43.17436183823631 25.235072671243067, 43.17436966250612 25.235072671243067, 43.17437748677495 25.235067306825172, 43.17438139890896 25.235061942407274, 43.17438531104275 25.235051213571484, 43.17438922317628 25.2350351203178, 43.17438531104274 25.234992204974635, 43.174385311042755 25.234981476138852, 43.174404871707885 25.234981476138852, 43.17442052023548 25.235008298228323, 43.17443225662855 25.23501366264622, 43.17444008088935 25.235019027064112))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17446355366571 25.19750565272313, 43.174459641536934 25.197516381558916, 43.17445181727866 25.197527110394713, 43.17444790514914 25.197543203648394, 43.174443993019366 25.19754856806629, 43.17444008088934 25.19754856806629, 43.17443225662855 25.197559296902078, 43.17439313530956 25.197564661319973, 43.17438531104274 25.197564661319973, 43.17438139890896 25.197559296902078, 43.174373574640654 25.197559296902078, 43.17436575037134 25.197537839230495, 43.17436183823632 25.197511017141025, 43.17436966250612 25.197484195051555, 43.17437357464065 25.197484195051555, 43.17438139890896 25.197473466215758, 43.17441269597218 25.197473466215758, 43.17442834449779 25.19748955946944, 43.174436168759065 25.197494923887337, 43.174451817278644 25.19748955946944, 43.17446355366571 25.19750565272313))"
