latitude,longitude,CAMS_no2_conc_high,CAMS_no2_conc,ERA5_skt,ERA5_blh,ERA5_tp,ERA5_windspeed,ERA5_t2m,ERA5_uvb,OSM_sum_highway_score,OSM_max_highway_score,road_traffic,HDX_population_density_frequency
43.532288,1.3207684,-1.0860535,-0.5665867,-1.7297384,-0.23394597,0.7124074,-0.21530001,-0.043188147,0.8614622,-2.3949943,-0.501509,-0.6355321,-4.2640743
43.532288,1.3285077,-1.7985892,-0.5532334,-1.8293228,-0.4500676,0.5977357,0.19981006,0.029304652,0.68571615,-1.7524676,-0.2624749,-0.5770461,-4.849066
43.532288,1.3362468,-2.3507314,-0.9218852,-1.8894646,-0.95790786,0.6496407,0.24148074,0.05887481,1.3875568,-1.9399171,-1.7814946,-0.50668347,-0.38534212
43.532288,1.3439862,-2.1451364,-0.6891905,-2.1071885,-1.025539,0.6026449,0.23239024,-0.009607921,0.73662305,-2.9941924,-0.9476953,-0.46576405,0.085728645
43.532288,1.3517255,-1.6571795,0.29621983,-1.8841027,-0.07556252,0.9218433,0.0022956724,-0.16229112,0.9929639,-0.8927534,-0.66129905,-0.656928,-3.602568
43.532288,1.3594646,-1.6481278,0.6403652,-2.0561976,-0.2948901,0.5832448,0.14268096,0.03907354,0.5727873,-3.9056687,-0.4643106,-0.61214125,-4.290025
43.532288,1.367204,-1.7109596,0.4408775,-2.059593,-0.07477981,0.5492605,0.10783556,-0.05734299,0.7798665,-2.4568038,-0.26630366,-0.6372733,-5.020314
43.532288,1.3749433,-1.5843014,0.76784503,-2.0321088,0.03609335,3.3823493,0.067504264,0.0026509464,1.4563076,5.493227,-0.19034639,0.037847117,-2.9621148
43.532288,1.452336,0.09873657,1.3634005,-1.9865407,-0.08971558,0.721784,-2.7414575,-0.020720923,0.838789,11.751119,7.070673,0.38594675,0.08751577
43.532288,1.4600751,-0.036925256,-0.021803554,-1.9400918,-0.16743223,0.64713323,0.1558586,0.022718804,0.89649504,-3.4036405,0.09965382,-0.3964768,-5.1965947
43.532288,1.5452071,-1.8699458,-0.63866615,-1.7158991,-0.303641,0.66025984,0.17012323,-0.11251647,0.5957811,-3.9190807,0.124588415,-0.63060147,-3.5744808
