,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
4.0,9.2,8.1,10.25,2.1599999999999993,166.9428,19.381074478778114,2018-07-26,uh_wavg
5.0,11.34,10.25,12.46,2.1400000000000006,187.0407,21.714322134664048,2018-07-26,uh_wavg
6.0,13.56,12.46,15.0,2.2200000000000006,149.6817,17.37716257191159,2018-07-26,uh_wavg
7.0,16.38,15.0,18.85,2.8199999999999985,66.7935,7.754331412904696,2018-07-26,uh_wavg
8.0,20.92,18.85,35.95,4.540000000000003,9.7488,1.1317781831783824,2018-07-26,uh_wavg
1.0,0.51,-5.29,2.33,,45.612899999999996,5.543723781865117,2018-08-02,uh_wavg
2.0,3.93,2.33,5.22,3.42,69.6123,8.46057503513982,2018-08-02,uh_wavg
3.0,6.59,5.22,7.74,2.6599999999999997,109.11149999999999,13.261248844624562,2018-08-02,uh_wavg
4.0,8.94,7.74,9.98,2.3499999999999996,150.4521,18.285723661541994,2018-08-02,uh_wavg
5.0,10.92,9.98,11.82,1.9800000000000004,165.9708,20.17184329554093,2018-08-02,uh_wavg
6.0,12.74,11.82,13.83,1.8200000000000003,155.32649999999998,18.87815096176459,2018-08-02,uh_wavg
7.0,15.06,13.83,16.86,2.3200000000000003,95.1354,11.562614512062392,2018-08-02,uh_wavg
8.0,18.57,16.86,35.59,3.51,31.563,3.83611990746058,2018-08-02,uh_wavg
1.0,4.1,-1.79,5.7,,51.7059,6.002806485216844,2018-08-11,uh_wavg
2.0,7.27,5.7,8.56,3.17,70.7607,8.214977185552975,2018-08-11,uh_wavg
3.0,9.8,8.56,10.83,2.530000000000001,103.8474,12.056184036887622,2018-08-11,uh_wavg
4.0,11.84,10.83,12.72,2.039999999999999,138.3723,16.064358996059845,2018-08-11,uh_wavg
5.0,13.56,12.72,14.35,1.7200000000000006,169.2801,19.652606029450332,2018-08-11,uh_wavg
6.0,15.12,14.35,16.01,1.5599999999999987,158.7987,18.435765864321173,2018-08-11,uh_wavg
7.0,16.99,16.01,18.26,1.8699999999999992,111.7359,12.972000973806486,2018-08-11,uh_wavg
